latitude;longitude
0.361307570;-78.112158090
0.361312240;-78.112163590
0.361317400;-78.112171670
0.361322640;-78.112180350
0.361325300;-78.112187950
0.361324820;-78.112194270
0.361326010;-78.112203210
0.361324290;-78.112210520
0.361318180;-78.112215140
0.361311410;-78.112217740
0.361302390;-78.112222700
0.361299570;-78.112226450
0.361299090;-78.112222020
0.361297230;-78.112219470
0.361291080;-78.112221750
0.361285870;-78.112225350
0.361281410;-78.112227100
0.361277120;-78.112224830
0.361274860;-78.112220720
0.361277190;-78.112216830
0.361278080;-78.112216460
0.361277220;-78.112220580
0.361274190;-78.112228140
0.361267770;-78.112232240
0.361264390;-78.112235430
0.361258450;-78.112236320
0.361255340;-78.112236950
0.361253480;-78.112239510
0.361254830;-78.112242610
0.361257270;-78.112251790
0.361257740;-78.112256420
0.361260420;-78.112262850
0.361261840;-78.112266020
0.361261320;-78.112266990
0.361257370;-78.112264730
0.361254950;-78.112264380
0.361251920;-78.112263750
0.361248660;-78.112263600
0.361242820;-78.112263270
0.361239340;-78.112264890
0.361238510;-78.112266120
0.361238720;-78.112267160
0.361238130;-78.112271070
0.361238910;-78.112274320
0.361239000;-78.112275170
0.361238910;-78.112276320
0.361237990;-78.112277330
0.361236310;-78.112278830
0.361233710;-78.112279340
0.361229200;-78.112281860
0.361224510;-78.112283920
0.361217270;-78.112286820
0.361210770;-78.112289260
0.361202240;-78.112288210
0.361196220;-78.112288280
